1400300,0.1,4
1400320,0.11,0
1400340,0.11,2
1400360,0.11,1
1400380,0.13,1
1400400,0.14,2
1400420,0.16,0
1400440,0.18,5
1400460,0.19,1
1400480,0.21,5
20,0.93,0
40,0.95,0
60,0.97,1
80,0.99,1
100,1.01,0
120,1.03,2
140,1.05,0
160,1.07,4
180,1.09,2
200,1.11,0
220,1.13,2
240,1.15,5
260,1.17,2
280,1.19,2
300,1.21,1
320,1.23,4
340,1.25,1
360,1.27,1
380,1.29,1
400,1.31,0
420,1.33,1
440,1.35,3
460,1.37,1
480,1.39,2
500,1.41,1
520,1.43,1
540,1.45,2
560,1.47,3
580,1.49,2
600,1.5,0
620,1.53,2
640,1.55,0
660,1.57,0
680,1.59,0
700,1.61,3
720,1.63,0
740,1.65,1
760,1.67,2
780,1.69,1
800,1.71,1
820,1.73,3
840,1.75,2
860,1.77,0
880,1.79,4
900,1.81,2
920,1.83,1
940,1.85,4
960,1.87,2
980,1.89,3
1000,1.91,1
1020,1.93,2
1040,1.95,1
1060,1.97,0
1080,1.99,3
1100,2.01,0
1120,2.03,0
1140,2.05,1
1160,2.07,0
1180,2.09,3
1200,2.11,1
1220,2.13,2
1240,2.15,2
1260,2.17,0
1280,2.19,2
1300,2.21,2
1320,2.23,1
1340,2.25,1
1360,2.27,1
1380,2.29,2
1400,2.31,0
1420,2.33,2
1440,2.35,2
1460,2.37,0
1480,2.38,2
1500,2.41,2
1520,2.43,1
1540,2.45,0
1560,2.47,2
1580,2.49,1
1600,2.51,1
1620,2.53,2
1640,2.55,0
1660,2.57,2
1680,2.59,3
1700,2.61,0
1720,2.63,2
1740,2.65,1
1760,2.67,0
1780,2.69,0
1800,2.7,2
1820,2.73,0
1840,2.75,4
1860,2.77,3
1880,2.79,0
1900,2.81,0
1920,2.83,1
1940,2.85,3
1960,2.87,0
1980,2.89,1
2000,2.91,1
2020,2.93,2
2040,2.95,0
2060,2.97,1
2080,2.99,3
2100,3.01,0
2120,3.03,0
2140,3.04,2
2160,3.07,0
2180,3.09,2
2200,3.11,0
2220,3.13,1
2240,3.15,2
2260,3.17,5
2280,3.19,2
2300,3.21,0
2320,3.23,4
2340,3.25,1
2360,3.27,2
2380,3.29,0
2400,3.31,0
2420,3.33,6
2440,3.35,1
2460,3.37,0
2480,3.39,1
2500,3.4,2
2520,3.43,1
2540,3.45,0
2560,3.47,2
2580,3.49,2
2600,3.51,1
2620,3.53,2
2640,3.55,2
2660,3.57,1
2680,3.59,2
2700,3.61,5
2720,3.63,1
2740,3.65,1
2760,3.67,2
2780,3.69,0
2800,3.71,1
2820,3.72,2
2840,3.74,1
2860,3.77,2
2880,3.79,2
2900,3.81,1
2920,3.83,1
2940,3.85,3
2960,3.87,1
2980,3.89,1
3000,3.91,2
3020,3.93,2
3040,3.95,0
3060,3.97,0
3080,3.99,5
3100,4.01,2
3120,4.03,2
3140,4.05,1
3160,4.07,1
3180,4.08,2
3200,4.11,2
3220,4.13,0
3240,4.15,2
3260,4.17,1
3280,4.19,2
3300,4.21,2
3320,4.23,1
3340,4.24,0
3360,4.27,1
3380,4.29,0
3400,4.31,3
3420,4.33,1
3440,4.35,5
3460,4.37,1
3480,4.39,4
3500,4.4,2
3520,4.42,0
3540,4.45,0
3560,4.47,2
3580,4.49,1
3600,4.51,2
3620,4.53,3
3640,4.55,0
3660,4.57,0
3680,4.59,4
3700,4.61,2
3720,4.63,2
3740,4.65,1
3760,4.67,1
3780,4.69,1
3800,4.71,2
3820,4.73,2
3840,4.75,4
3860,4.77,2
3880,4.79,2
3900,4.81,2
3920,4.83,3
3940,4.85,2
3960,4.87,2
3980,4.89,4
4000,4.91,2
4020,4.93,2
4040,4.95,3
4060,4.97,1
4080,4.99,2
4100,5.01,0
4120,5.03,2
4140,5.05,1
4160,5.07,0
4180,5.09,5
4200,5.11,0
4220,5.13,1
4240,5.15,3
4260,5.17,3
4280,5.19,1
4300,5.21,3
4320,5.23,4
4340,5.25,0
4360,5.27,1
4380,5.29,1
4400,5.31,1
4420,5.33,4
4440,5.35,2
4460,5.37,0
4480,5.39,1
4500,5.41,0
4520,5.43,2
4540,5.45,0
4560,5.47,5
4580,5.49,3
4600,5.51,0
4620,5.53,2
4640,5.55,0
4660,5.57,2
4680,5.59,1
4700,5.61,3
4720,5.63,4
4740,5.65,5
4760,5.67,2
4780,5.69,1
4800,5.71,1
4820,5.73,1
4840,5.75,1
4860,5.77,3
4880,5.79,2
4900,5.81,2
4920,5.83,2
4940,5.85,1
4960,5.87,1
4980,5.89,1
5000,5.91,1
5020,5.93,3
5040,5.95,2
5060,5.97,2
5080,5.99,0
5100,6.01,3
5120,6.03,3
5140,6.05,0
5160,6.07,2
5180,6.09,1
5200,6.11,1
5220,6.13,3
5240,6.15,1
5260,6.17,2
5280,6.19,1
5300,6.21,3
5320,6.23,1
5340,6.25,2
5360,6.27,2
5380,6.29,2
5400,6.31,1
5420,6.33,3
5440,6.35,0
5460,6.37,3
5480,6.39,1
5500,6.41,2
5520,6.43,3
5540,6.45,0
5560,6.47,2
5580,6.49,1
5600,6.51,4
5620,6.53,2
5640,6.55,3
5660,6.57,1
5680,6.59,3
5700,6.61,1
5720,6.63,1
5740,6.65,0
5760,6.66,3
5780,6.69,1
5800,6.71,2
5820,6.73,1
5840,6.75,2
5860,6.77,0
5880,6.79,1
5900,6.81,0
5920,6.83,5
5940,6.85,4
5960,6.87,3
5980,6.89,3
6000,6.91,0
6020,6.93,2
6040,6.95,1
6060,6.97,1
6080,6.99,1
6100,7.01,0
6120,7.03,3
6140,7.05,1
6160,7.07,2
6180,7.09,1
6200,7.11,1
6220,7.13,3
6240,7.15,2
6260,7.17,0
6280,7.19,1
6300,7.21,0
6320,7.23,3
6340,7.25,0
6360,7.27,1
6380,7.29,1
6400,7.31,0
6420,7.33,1
6440,7.35,0
6460,7.37,3
6480,7.39,0
6500,7.41,1
6520,7.43,0
6540,7.45,2
6560,7.47,2
6580,7.49,2
6600,7.51,3
6620,7.53,3
6640,7.55,0
6660,7.57,1
6680,7.59,0
6700,7.61,0
6720,7.63,0
6740,7.65,0
6760,7.67,4
6780,7.69,5
6800,7.71,1
6820,7.73,2
6840,7.75,1
6860,7.77,3
6880,7.79,1
6900,7.81,1
6920,7.83,0
6940,7.85,5
6960,7.87,1
6980,7.89,1
7000,7.91,1
7020,7.93,3
7040,7.95,2
7060,7.97,1
7080,7.99,3
7100,8.01,0
7120,8.03,0
7140,8.05,0
7160,8.07,1
7180,8.09,4
7200,8.11,3
7220,8.13,0
7240,8.15,0
7260,8.17,3
7280,8.19,2
7300,8.21,2
7320,8.23,4
7340,8.25,4
7360,8.27,5
7380,8.29,1
7400,8.31,0
7420,8.33,4
7440,8.35,0
7460,8.37,1
7480,8.39,5
7500,8.41,3
7520,8.43,1
7540,8.45,2
7560,8.47,2
7580,8.49,2
7600,8.51,1
7620,8.53,3
7640,8.54,0
7660,8.57,3
7680,8.59,2
7700,8.61,2
7720,8.63,1
7740,8.65,0
7760,8.67,0
7780,8.69,3
7800,8.71,0
7820,8.73,1
7840,8.75,1
7860,8.77,1
7880,8.79,2
7900,8.81,0
7920,8.83,1
7940,8.85,2
