arduino_timestamp,elapsed_time,capacitive_value
0,0.08,5
43480,0.1,5
43500,0.1,5
43520,0.11,5
43540,0.12,5
43560,0.14,1
43580,0.15,5
43600,0.17,4
43620,0.18,4
43640,0.2,5
43660,0.22,5
43680,0.23,4
43700,0.25,5
43440,0.29,5
43460,0.3,5
43480,0.31,5
43500,0.33,5
43520,0.36,5
43540,0.37,5
43560,0.39,1
43580,0.4,5
43600,0.42,4
43620,0.44,4
43640,0.45,5
43660,0.47,5
43680,0.49,4
43700,0.5,5
43440,0.53,5
43460,0.56,5
43480,0.56,5
43500,0.59,5
43520,0.6,5
43540,0.62,5
43560,0.63,1
43580,0.66,5
43600,0.67,4
43620,0.69,4
43640,0.7,5
43660,0.72,5
43680,0.73,4
43700,0.75,5
20,0.93,0
40,0.96,0
60,0.97,0
80,1.0,4
100,1.01,5
120,1.03,7
140,1.06,1
160,1.07,5
180,1.09,6
200,1.12,6
220,1.14,6
240,1.16,5
260,1.17,6
280,1.2,5
300,1.21,7
320,1.23,8
340,1.25,6
360,1.27,6
380,1.29,6
400,1.32,7
420,1.33,7
440,1.36,5
460,1.38,7
480,1.4,4
500,1.41,6
520,1.44,7
540,1.46,6
560,1.47,6
580,1.49,6
600,1.52,7
620,1.54,8
640,1.55,5
660,1.57,3
680,1.6,7
700,1.62,5
720,1.64,3
740,1.66,5
760,1.67,5
780,1.7,5
800,1.72,7
820,1.74,7
840,1.75,7
860,1.78,6
880,1.79,1
900,1.82,6
920,1.83,6
940,1.86,7
960,1.87,6
980,1.89,5
1000,1.91,8
1020,1.94,5
1040,1.95,5
1060,1.97,6
1080,2.0,6
1100,2.01,8
1120,2.03,6
1140,2.05,6
1160,2.07,6
1180,2.09,3
1200,2.12,5
1220,2.13,6
1240,2.16,6
1260,2.17,6
1280,2.2,6
1300,2.21,7
1320,2.23,6
1340,2.25,6
1360,2.27,7
1380,2.29,6
1400,2.32,7
1420,2.33,7
1440,2.36,5
1460,2.38,6
1480,2.4,6
1500,2.42,7
1520,2.43,6
1540,2.46,5
1560,2.48,5
1580,2.49,6
1600,2.51,6
1620,2.54,4
1640,2.56,5
1660,2.58,5
1680,2.59,6
1700,2.62,4
1720,2.64,4
1740,2.66,4
1760,2.67,5
1780,2.69,5
1800,2.72,4
1820,2.73,7
1840,2.75,5
1860,2.77,6
1880,2.79,3
1900,2.81,6
1920,2.83,7
1940,2.85,5
1960,2.88,7
1980,2.9,6
2000,2.91,7
2020,2.93,6
2040,2.95,7
2060,2.97,8
2080,2.99,7
2100,3.02,7
2120,3.04,8
2140,3.05,3
2160,3.08,8
2180,3.09,3
2200,3.11,8
2220,3.14,5
2240,3.15,8
2260,3.17,6
2280,3.19,4
2300,3.21,6
2320,3.23,7
2340,3.26,6
2360,3.28,8
2380,3.29,7
2400,3.31,8
2420,3.34,9
2440,3.35,6
2460,3.37,6
2480,3.4,7
2500,3.42,6
2520,3.43,9
2540,3.45,6
2560,3.47,7
2580,3.49,6
2600,3.51,71
2620,3.53,69
2640,3.56,37
2660,3.57,41
2680,3.59,25
2700,3.62,8
2720,3.64,7
2740,3.65,9
2760,3.68,4
2780,3.69,7
2800,3.71,8
2820,3.74,5
2840,3.75,6
2860,3.77,6
2880,3.79,7
2900,3.81,9
2920,3.83,6
2940,3.86,7
2960,3.87,7
2980,3.9,6
3000,3.91,6
3020,3.94,6
3040,3.95,4
3060,3.97,7
3080,3.99,4
3100,4.01,6
3120,4.03,7
3140,4.05,7
3160,4.08,5
3180,4.09,5
3200,4.11,8
3220,4.13,7
3240,4.16,8
3260,4.17,7
3280,4.19,9
3300,4.21,11
3320,4.24,14
3340,4.25,13
3360,4.27,22
3380,4.29,12
3400,4.31,8
3420,4.33,7
3440,4.35,8
3460,4.38,4
3480,4.4,8
3500,4.41,8
3520,4.43,7
3540,4.46,36
3560,4.47,20
3580,4.49,6
3600,4.52,7
3620,4.54,7
3640,4.56,5
3660,4.58,5
3680,4.59,8
3700,4.62,6
3720,4.63,6
3740,4.65,7
3760,4.67,26
3780,4.69,8
3800,4.71,7
3820,4.73,5
3840,4.76,7
3860,4.77,5
3880,4.8,5
3900,4.81,7
3920,4.83,7
3940,4.85,6
3960,4.87,7
3980,4.9,18
4000,4.92,9
4020,4.93,8
4040,4.95,6
4060,4.97,7
4080,4.99,7
4100,5.01,7
4120,5.03,8
4140,5.06,7
4160,5.08,6
4180,5.1,8
4200,5.11,18
4220,5.14,7
4240,5.15,6
4260,5.17,6
4280,5.2,7
4300,5.21,8
4320,5.23,6
4340,5.26,8
4360,5.28,7
4380,5.29,5
4400,5.31,22
4420,5.33,20
4440,5.35,12
4460,5.37,6
4480,5.39,5
4500,5.42,6
4520,5.44,4
4540,5.45,7
4560,5.47,5
4580,5.49,7
4600,5.51,5
4620,5.53,6
4640,5.56,7
4660,5.57,6
4680,5.6,5
4700,5.62,5
4720,5.64,5
4740,5.65,7
4760,5.67,9
4780,5.69,2
4800,5.72,5
4820,5.73,6
4840,5.75,4
4860,5.77,7
4880,5.79,7
4900,5.82,5
4920,5.83,6
4940,5.85,6
4960,5.87,4
4980,5.9,7
5000,5.91,8
5020,5.94,6
5040,5.95,8
5060,5.97,7
5080,5.99,7
5100,6.01,5
5120,6.03,5
5140,6.05,6
5160,6.07,7
5180,6.09,5
5200,6.11,5
5220,6.13,7
5240,6.16,5
5260,6.17,7
5280,6.19,8
5300,6.21,7
5320,6.24,7
5340,6.26,6
5360,6.28,7
5380,6.29,6
5400,6.32,6
5420,6.33,8
5440,6.35,33
5460,6.37,12
5480,6.39,5
5500,6.41,9
5520,6.43,8
5540,6.46,7
5560,6.48,8
5580,6.5,7
5600,6.51,7
5620,6.53,7
5640,6.55,7
5660,6.57,30
5680,6.59,12
5700,6.62,8
5720,6.63,8
5740,6.65,8
5760,6.67,5
5780,6.69,6
5800,6.71,5
5820,6.73,17
5840,6.76,16
5860,6.77,8
5880,6.79,7
5900,6.82,6
5920,6.84,8
5940,6.85,5
5960,6.87,6
5980,6.89,6
6000,6.92,12
6021,6.94,15
6041,6.95,6
6061,6.98,5
6081,7.0,8
6102,7.01,8
6122,7.04,8
6142,7.06,8
6162,7.07,8
6182,7.1,11
6202,7.12,47
6222,7.13,11
6242,7.16,8
6262,7.17,6
6282,7.2,7
6302,7.22,4
6322,7.23,7
6342,7.26,5
6362,7.28,7
6382,7.3,20
6402,7.31,9
6422,7.34,9
6443,7.35,7
6463,7.37,8
6483,7.4,9
6503,7.42,8
6523,7.44,5
6543,7.45,7
6563,7.48,8
6583,7.5,25
6603,7.51,7
6623,7.53,7
6643,7.56,7
6663,7.57,7
6683,7.6,6
6703,7.62,7
6723,7.64,6
6743,7.65,6
6763,7.68,26
6784,7.7,9
6804,7.72,8
6824,7.73,6
6844,7.76,5
6864,7.78,3
6884,7.8,6
6904,7.82,8
6924,7.83,7
6944,7.86,6
6964,7.88,33
6984,7.89,8
7004,7.91,6
7024,7.94,8
7044,7.95,6
7064,7.97,5
7084,8.0,6
7104,8.02,8
7124,8.04,5
7144,8.06,6
7164,8.08,8
7184,8.09,9
7204,8.12,8
7224,8.13,8
7244,8.16,7
7264,8.18,7
7284,8.19,8
7304,8.22,5
7324,8.24,8
7344,8.26,56
7364,8.28,8
7384,8.3,5
7404,8.31,8
7424,8.34,7
7444,8.36,8
7464,8.38,5
7484,8.4,6
7504,8.42,7
7524,8.44,8
7544,8.46,7
7564,8.47,8
7584,8.49,9
7604,8.52,9
7624,8.54,6
7644,8.56,6
7664,8.58,7
7684,8.6,8
7704,8.61,6
7724,8.63,6
7744,8.66,8
7764,8.68,8
7784,8.7,14
7804,8.72,7
7824,8.74,6
7844,8.75,7
7864,8.78,6
7884,8.79,8
7904,8.82,6
7924,8.84,6
7944,8.86,8
7964,8.88,7
7984,8.9,8
8004,8.92,9
8024,8.93,8
8044,8.96,5
8064,8.98,12
8084,9.0,8
8104,9.01,6
8124,9.04,8
8144,9.06,8
8164,9.07,8
8184,9.1,5
8204,9.12,8
8224,9.14,7
8244,9.16,7
8264,9.18,6
8284,9.2,6
8304,9.21,7
8324,9.23,5
8344,9.26,6
8364,9.28,7
8384,9.29,7
8404,9.32,6
8424,9.34,8
8444,9.35,8
8464,9.38,7
8484,9.4,6
8504,9.42,5
8524,9.44,6
8544,9.45,6
8564,9.48,5
8584,9.5,5
8604,9.52,7
8624,9.54,5
8644,9.56,6
8664,9.58,8
8684,9.6,6
