arduino_timestamp,elapsed_time,capacitive_value
20,0.93,0
40,0.95,0
60,0.98,2
80,0.99,2
100,1.02,0
120,1.03,2
140,1.05,3
160,1.08,3
180,1.09,3
200,1.11,0
220,1.13,3
240,1.15,3
260,1.17,2
280,1.2,3
300,1.21,3
320,1.24,1
340,1.26,2
360,1.27,1
380,1.29,1
400,1.31,1
420,1.33,3
440,1.35,2
460,1.38,2
480,1.4,2
500,1.41,0
520,1.43,4
540,1.45,2
560,1.47,3
580,1.49,2
600,1.51,3
620,1.53,2
640,1.55,3
660,1.57,2
680,1.59,2
700,1.61,2
720,1.63,2
740,1.65,3
760,1.67,3
780,1.69,0
800,1.71,3
820,1.73,2
840,1.75,2
860,1.77,2
880,1.79,1
900,1.81,2
920,1.83,2
940,1.85,3
960,1.87,2
980,1.89,1
1000,1.91,2
1020,1.94,3
1040,1.95,0
1060,1.97,2
1080,1.99,3
1100,2.01,2
1120,2.04,1
1140,2.05,3
1160,2.07,3
1180,2.1,2
1200,2.11,2
1220,2.13,3
1240,2.15,2
1260,2.17,1
1280,2.19,2
1300,2.21,3
1320,2.24,2
1340,2.25,3
1360,2.28,3
1380,2.29,3
1400,2.31,1
1420,2.33,0
1440,2.35,3
1460,2.37,3
1480,2.4,3
1500,2.42,3
1520,2.43,3
1540,2.45,2
1560,2.47,1
1580,2.49,2
1600,2.51,0
1620,2.53,2
1640,2.55,2
1660,2.57,2
1680,2.59,2
1700,2.61,3
1720,2.63,3
1740,2.65,1
1760,2.67,3
1780,2.69,3
1800,2.71,1
1820,2.73,3
1840,2.76,3
1860,2.77,3
1880,2.79,1
1900,2.81,3
1920,2.83,2
1940,2.85,2
1960,2.87,2
1980,2.89,1
2000,2.91,0
2020,2.93,2
2040,2.95,3
2060,2.97,3
2080,2.99,2
2100,3.01,0
2120,3.03,3
2140,3.06,3
2160,3.07,2
2180,3.09,2
2200,3.11,2
2220,3.13,2
2240,3.15,2
2260,3.17,3
2280,3.19,3
2300,3.21,2
2320,3.23,1
2340,3.25,2
2360,3.28,2
2380,3.3,2
2400,3.31,2
2420,3.33,0
2440,3.35,3
2460,3.37,2
2480,3.39,2
2500,3.41,2
2520,3.43,3
2540,3.45,3
2560,3.47,2
2580,3.5,1
2600,3.52,3
2620,3.53,3
2640,3.55,3
2660,3.57,3
2680,3.59,2
2700,3.61,1
2720,3.63,3
2740,3.65,2
2760,3.67,2
2780,3.69,3
2800,3.71,2
2820,3.73,2
2840,3.75,1
2860,3.78,2
2880,3.8,2
2900,3.82,0
2920,3.83,2
2940,3.85,3
2960,3.87,3
2980,3.89,2
3000,3.92,2
3020,3.94,3
3040,3.95,3
3060,3.97,2
3080,3.99,2
3100,4.02,2
3120,4.03,2
3140,4.05,1
3160,4.07,2
3180,4.09,2
3200,4.11,3
3220,4.13,1
3240,4.16,1
3260,4.17,3
3280,4.19,3
3300,4.21,1
3320,4.23,1
3340,4.25,3
3360,4.27,2
3380,4.29,3
3400,4.32,4
3420,4.34,3
3440,4.35,2
3460,4.37,1
3480,4.39,3
3500,4.41,2
3520,4.43,3
3540,4.45,2
3560,4.47,2
3580,4.49,1
3600,4.51,1
3620,4.54,3
3640,4.55,2
3660,4.57,3
3680,4.59,2
3700,4.62,2
3720,4.63,2
3740,4.66,2
3760,4.68,2
3780,4.7,2
3800,4.71,2
3820,4.73,4
3840,4.75,3
3860,4.77,2
3880,4.8,1
3900,4.81,2
3920,4.84,3
3940,4.85,4
3960,4.87,3
3980,4.89,3
4000,4.91,2
4020,4.93,1
4040,4.95,3
4060,4.98,3
4080,4.99,1
4100,5.02,2
4120,5.03,3
4140,5.05,2
4160,5.07,3
4180,5.09,1
4200,5.11,3
4220,5.13,3
4240,5.16,2
4260,5.17,2
4280,5.2,3
4300,5.21,3
4320,5.23,2
4340,5.25,0
4360,5.27,3
4380,5.29,2
4400,5.31,1
4420,5.33,2
4440,5.35,3
4460,5.37,2
4480,5.39,2
4500,5.41,2
4520,5.43,3
4540,5.45,2
4560,5.47,1
4580,5.5,1
4600,5.51,1
4620,5.54,2
4640,5.55,3
4660,5.57,3
4680,5.59,3
4700,5.61,2
4720,5.63,3
4740,5.65,3
4760,5.67,3
4780,5.69,2
4800,5.72,2
4820,5.73,3
4840,5.75,4
4860,5.77,2
4880,5.79,3
4900,5.81,2
4920,5.84,1
4940,5.85,3
4960,5.88,3
4980,5.89,2
5000,5.91,2
5020,5.93,3
5040,5.95,2
5060,5.97,2
5080,5.99,1
5100,6.02,3
5120,6.04,2
5140,6.05,1
5160,6.07,3
5180,6.09,3
5200,6.11,3
5220,6.13,2
5240,6.16,2
5260,6.18,1
5280,6.19,2
5300,6.21,0
5320,6.24,1
5340,6.25,2
5360,6.27,3
5380,6.29,2
5400,6.31,2
5420,6.33,3
5440,6.35,2
5460,6.38,2
5480,6.39,3
5500,6.41,3
5520,6.43,1
5540,6.45,2
5560,6.47,3
5580,6.49,2
5600,6.52,0
5620,6.53,3
5640,6.56,3
5660,6.57,3
5680,6.59,2
5700,6.61,2
5720,6.63,2
5740,6.65,2
5760,6.67,2
5780,6.69,2
5800,6.71,3
5820,6.73,2
5840,6.76,2
5860,6.77,3
5880,6.79,2
5900,6.81,2
5920,6.83,2
5940,6.85,2
5960,6.87,2
5980,6.89,3
6000,6.91,3
6020,6.93,3
6040,6.95,2
6060,6.97,3
6080,7.0,3
6100,7.02,2
6120,7.03,2
6140,7.06,2
6160,7.07,2
6180,7.1,3
6200,7.11,3
6220,7.13,2
6240,7.15,3
6260,7.17,1
6280,7.19,3
6300,7.21,2
6320,7.24,3
6340,7.25,4
6360,7.27,1
6380,7.29,3
6400,7.31,3
6420,7.33,3
6440,7.35,3
6460,7.37,2
6480,7.39,2
6500,7.42,2
6520,7.43,3
6540,7.45,3
6560,7.47,4
6580,7.49,3
6600,7.51,3
6620,7.53,4
6640,7.55,4
6660,7.58,4
6680,7.59,3
6700,7.61,4
6720,7.63,4
6740,7.65,2
6760,7.67,4
6780,7.69,5
6800,7.72,3
6820,7.73,2
6840,7.75,5
6860,7.77,4
6880,7.79,5
6900,7.81,4
6920,7.83,5
6940,7.85,3
6960,7.87,5
6980,7.9,3
7000,7.91,6
7020,7.94,6
7040,7.95,3
7060,7.97,7
7080,7.99,4
7100,8.01,5
7120,8.03,8
7140,8.05,2
7160,8.07,6
7180,8.1,4
7200,8.11,5
7220,8.13,8
7240,8.15,3
7260,8.17,5
7280,8.2,4
7300,8.21,5
7320,8.24,6
7340,8.25,3
7360,8.27,5
7380,8.29,4
7400,8.31,4
7420,8.33,8
7440,8.35,5
7460,8.37,5
7480,8.39,3
7500,8.41,3
7520,8.43,6
7540,8.46,3
7560,8.47,4
7580,8.49,5
7600,8.51,6
7620,8.53,8
7640,8.55,4
7660,8.57,4
7680,8.59,7
7700,8.61,4
7720,8.63,8
7740,8.65,5
7760,8.67,6
7780,8.69,4
7800,8.71,4
7820,8.73,8
7840,8.76,6
7860,8.77,5
7880,8.8,7
7900,8.81,4
7920,8.83,10
7940,8.85,95
7960,8.87,125
7980,8.89,160
8000,8.91,95
8020,8.93,21
8040,8.95,3
8060,8.98,5
8080,8.99,5
8100,9.01,4
8120,9.03,9
8140,9.05,5
8160,9.07,4
8180,9.09,67
8200,9.12,5
8220,9.13,9
8240,9.15,7
8260,9.17,4
8280,9.19,5
8300,9.21,3
8320,9.24,5
8340,9.25,5
8360,9.28,3
8380,9.29,3
8400,9.31,5
8420,9.33,9
8440,9.35,6
8460,9.37,3
8480,9.39,4
8500,9.41,6
8520,9.43,5
8540,9.46,5
8560,9.47,6
8580,9.49,4
8600,9.51,145
8620,9.53,184
8640,9.55,205
8660,9.57,130
8680,9.59,6
8700,9.61,5
8720,9.64,6
8740,9.66,5
8760,9.67,2
8780,9.69,4
8800,9.71,6
8820,9.73,20
8840,9.75,6
8860,9.77,4
8880,9.8,4
8900,9.81,3
8920,9.83,5
8940,9.85,4
8960,9.87,5
8980,9.89,4
9000,9.91,4
9020,9.94,36
9040,9.95,25
9060,9.97,5
9080,9.99,6
9100,10.01,8
9120,10.03,9
9140,10.05,6
9160,10.07,6
9180,10.1,34
9200,10.11,68
9220,10.13,105
9240,10.15,47
9260,10.17,8
9280,10.19,4
9300,10.21,5
9320,10.23,7
9340,10.25,4
9360,10.27,4
9380,10.3,4
9400,10.31,6
9420,10.33,7
9440,10.35,5
9460,10.37,3
9480,10.39,4
9500,10.41,5
9520,10.43,5
9540,10.45,7
9560,10.47,5
9580,10.5,123
9600,10.51,144
9620,10.54,145
9640,10.55,4
9660,10.57,6
9680,10.59,5
9700,10.61,4
9720,10.63,7
9740,10.65,6
9760,10.67,5
9780,10.69,5
9800,10.71,6
9820,10.73,6
9840,10.75,103
9860,10.78,100
9880,10.79,6
9900,10.82,7
9920,10.83,6
9940,10.85,6
9960,10.87,4
9980,10.89,3
10000,10.91,5
10020,10.93,6
10040,10.95,4
10060,10.97,46
10080,11.0,6
10100,11.01,4
10120,11.03,9
10140,11.05,4
10160,11.07,5
10180,11.09,4
10200,11.11,5
10220,11.13,7
10240,11.16,59
10260,11.17,36
10280,11.2,35
10300,11.21,6
10320,11.23,9
10340,11.25,5
10360,11.27,5
10380,11.29,5
10400,11.31,7
10420,11.34,44
10440,11.35,77
10460,11.38,25
10480,11.39,5
10500,11.41,7
10520,11.43,10
10540,11.45,7
10560,11.47,5
10580,11.49,5
10600,11.52,4
10620,11.53,9
10640,11.55,8
10660,11.58,36
10680,11.59,38
10700,11.61,36
10720,11.63,10
10740,11.65,5
10760,11.67,4
10780,11.7,5
10800,11.71,7
10820,11.73,7
10840,11.75,7
10860,11.77,4
10880,11.79,5
10900,11.81,5
10920,11.83,8
10940,11.85,5
10960,11.88,5
10980,11.89,4
11000,11.91,5
11020,11.93,7
11040,11.95,5
11060,11.97,5
11080,11.99,5
11100,12.02,7
11120,12.04,7
11140,12.05,5
11160,12.07,6
11180,12.09,5
11200,12.11,4
11220,12.13,8
11240,12.15,4
11260,12.17,4
11280,12.2,4
11300,12.21,3
11320,12.23,8
11340,12.25,6
11360,12.27,37
11380,12.29,50
11400,12.31,39
11420,12.33,9
11440,12.35,4
11460,12.37,5
11480,12.39,4
11500,12.43,4
11520,12.43,6
11540,12.45,3
11560,12.48,7
11580,12.49,97
11600,12.51,126
11620,12.54,66
11640,12.55,5
11660,12.57,4
11680,12.59,4
11700,12.61,6
11720,12.63,8
11740,12.65,6
11760,12.67,4
11780,12.7,5
11800,12.72,4
11820,12.73,7
11840,12.76,4
11860,12.78,5
11880,12.79,4
11900,12.81,4
11920,12.83,5
11940,12.86,7
11960,12.87,6
11980,12.9,7
12000,12.92,2
12020,12.93,6
12040,12.95,7
12060,12.97,7
12080,12.99,5
12100,13.01,5
12120,13.04,7
12140,13.05,5
12160,13.08,5
12180,13.09,3
12200,13.12,7
12220,13.13,33
12240,13.15,32
12260,13.17,54
12280,13.19,73
12300,13.22,92
12320,13.24,8
12340,13.25,3
12360,13.28,4
12380,13.29,5
12400,13.31,4
12420,13.33,7
12440,13.35,4
12460,13.37,8
12480,13.39,4
12500,13.42,4
12520,13.44,7
12540,13.46,7
12560,13.47,21
12580,13.49,39
12600,13.51,63
12620,13.53,61
12640,13.56,8
12660,13.57,5
12680,13.6,4
12700,13.61,3
12720,13.63,8
12740,13.65,4
12760,13.67,4
12780,13.7,4
12800,13.71,5
12820,13.73,8
12840,13.75,4
12860,13.77,5
12880,13.79,3
12900,13.81,6
12920,13.83,6
12940,13.85,4
12960,13.87,2
12980,13.89,4
13000,13.92,74
13020,13.94,82
13040,13.96,66
13060,13.99,35
13080,13.99,5
13100,14.01,4
13120,14.03,8
13140,14.05,5
13160,14.07,4
13180,14.09,5
13200,14.12,97
13220,14.14,153
13240,14.15,167
13260,14.17,12
13280,14.19,6
13300,14.21,4
13320,14.24,9
13340,14.26,5
13360,14.27,57
13380,14.29,98
13400,14.31,109
13420,14.33,111
13440,14.35,9
13460,14.37,4
13480,14.39,7
13500,14.41,5
13520,14.43,9
13540,14.46,4
13560,14.48,5
13580,14.49,6
13600,14.51,3
13620,14.54,10
13640,14.56,5
13660,14.57,6
13680,14.59,3
13700,14.61,7
13720,14.64,9
13740,14.65,6
13760,14.67,5
13780,14.69,6
13800,14.71,4
13820,14.74,9
13840,14.75,7
13860,14.78,155
13880,14.79,175
13900,14.81,160
13920,14.83,9
13940,14.85,5
13960,14.87,6
13980,14.89,6
14000,14.91,6
14020,14.93,7
14040,14.96,5
14060,14.97,2
14080,14.99,26
14100,15.01,59
14120,15.03,42
14140,15.05,12
14160,15.07,8
14180,15.1,5
14200,15.11,5
14220,15.14,8
14240,15.15,4
14260,15.17,4
14280,15.19,6
14300,15.21,88
14320,15.23,121
14340,15.25,115
14360,15.27,9
14380,15.3,5
14400,15.31,4
14420,15.34,8
14440,15.35,5
14460,15.37,4
14480,15.39,5
14500,15.41,58
14520,15.43,39
14540,15.45,63
14560,15.47,6
14580,15.5,5
14600,15.51,4
14620,15.53,9
14640,15.55,4
14660,15.57,5
14680,15.6,6
14700,15.62,4
14720,15.63,8
14740,15.66,5
14760,15.68,67
14780,15.69,108
14800,15.71,30
14820,15.73,8
14840,15.75,7
14860,15.77,6
14880,15.8,4
14900,15.82,3
14920,15.83,7
14940,15.85,5
14960,15.87,4
14980,15.89,19
15000,15.91,19
15020,15.93,8
15040,15.95,7
15060,15.97,5
15080,15.99,2
15100,16.02,4
15120,16.03,7
15140,16.05,7
15160,16.07,38
15180,16.09,65
15200,16.11,90
15220,16.14,24
15240,16.15,7
15260,16.17,5
15280,16.19,5
15300,16.21,6
15320,16.23,9
15340,16.26,6
15360,16.27,4
15380,16.29,7
15400,16.31,5
15420,16.34,7
15440,16.35,6
15460,16.37,4
15480,16.39,3
15500,16.41,3
15520,16.43,11
15540,16.45,5
15560,16.48,7
15580,16.49,6
15600,16.52,5
15620,16.53,9
15640,16.55,6
15660,16.57,7
15680,16.59,6
15700,16.61,5
15720,16.63,30
15740,16.66,110
15760,16.67,106
15780,16.7,115
15800,16.71,5
15820,16.73,8
15840,16.75,5
15860,16.78,6
15880,16.79,5
15900,16.81,6
15920,16.84,84
15940,16.85,126
15960,16.87,111
15980,16.89,13
16000,16.91,5
16020,16.93,6
16040,16.96,5
16060,16.97,3
16080,17.0,5
16100,17.02,5
16120,17.03,85
16140,17.05,104
16160,17.07,56
16180,17.09,5
16200,17.11,5
16220,17.13,8
16240,17.16,6
16260,17.17,7
16280,17.19,68
16300,17.21,70
16320,17.23,81
16340,17.25,6
16360,17.27,4
16380,17.29,6
16400,17.31,4
16420,17.33,7
16440,17.36,7
16460,17.38,6
16480,17.39,30
16500,17.41,5
16520,17.43,9
16540,17.46,6
16560,17.47,5
16580,17.5,5
16600,17.51,4
16620,17.54,6
16640,17.55,7
16660,17.57,7
16680,17.59,49
16700,17.61,98
16720,17.64,84
16740,17.65,6
16760,17.68,4
16780,17.69,5
16800,17.71,5
16820,17.73,6
16840,17.75,5
16860,17.77,6
16880,17.79,6
16900,17.82,4
16920,17.83,7
16940,17.85,6
16960,17.87,6
