arduino_timestamp,elapsed_time,capacitive_value
6780,7.69,7
6800,7.71,8
6820,7.73,6
6840,7.75,7
6860,7.77,6
6880,7.79,7
6900,7.81,4
6920,7.83,8
6940,7.85,4
6960,7.86,5
6980,7.89,6
7000,7.91,7
7020,7.93,7
7040,7.95,4
7060,7.97,7
7080,7.99,6
7100,8.01,8
7120,8.03,5
7140,8.05,6
7160,8.07,6
7180,8.09,7
7200,8.11,8
7220,8.13,7
7240,8.15,4
7260,8.17,7
7280,8.19,7
7300,8.21,6
7320,8.23,7
7340,8.25,3
7360,8.27,7
7380,8.29,5
7400,8.31,7
7420,8.33,7
7440,8.35,6
7460,8.37,6
7480,8.39,4
7500,8.41,7
7520,8.43,4
7540,8.45,3
7560,8.47,7
7580,8.49,7
7600,8.51,5
7620,8.53,7
7640,8.55,5
7660,8.57,6
7680,8.59,7
7700,8.61,3
7720,8.63,6
7740,8.65,5
7760,8.67,7
7780,8.69,5
7800,8.71,7
7820,8.73,6
7840,8.75,7
7860,8.77,7
7880,8.79,7
7900,8.81,3
7920,8.83,7
7940,8.85,6
7960,8.87,3
7980,8.89,6
8000,8.91,7
8020,8.93,6
8040,8.95,6
8060,8.97,5
8080,8.98,7
8100,9.01,10
8120,9.03,3
8140,9.05,7
8160,9.07,7
8180,9.09,6
8200,9.11,6
8220,9.13,6
8240,9.15,5
8260,9.17,7
8280,9.19,8
8300,9.21,7
8320,9.23,7
8340,9.25,4
8360,9.27,5
8380,9.29,8
8400,9.31,8
8420,9.33,3
8440,9.35,7
8460,9.37,6
8480,9.39,7
8500,9.41,8
8520,9.43,7
8540,9.45,7
8560,9.47,7
8580,9.49,4
8600,9.51,7
8620,9.53,8
8640,9.55,6
8660,9.57,7
8680,9.59,2
8700,9.61,9
8720,9.63,8
8740,9.65,6
8760,9.67,3
8780,9.69,7
8800,9.71,8
8820,9.73,7
8840,9.75,6
8860,9.77,6
8880,9.79,7
8900,9.81,11
8920,9.83,7
8940,9.85,7
8960,9.87,7
8980,9.89,7
9000,9.91,8
9020,9.93,7
9040,9.95,5
9060,9.97,7
9080,9.99,6
9100,10.01,6
9120,10.03,6
9140,10.05,5
9160,10.07,4
9180,10.09,8
9200,10.11,9
9220,10.13,7
9240,10.15,4
9260,10.17,5
9280,10.19,5
9300,10.21,8
9320,10.23,7
9340,10.25,6
9360,10.27,7
9380,10.29,8
9400,10.31,8
9420,10.33,6
9440,10.35,2
9460,10.37,6
9480,10.39,8
9500,10.41,9
9520,10.43,7
9540,10.45,5
9560,10.47,5
9580,10.49,6
9600,10.51,8
9620,10.53,7
9640,10.55,5
9660,10.57,8
9680,10.59,8
9700,10.61,9
9720,10.63,2
9740,10.65,4
9760,10.67,7
9780,10.69,7
9800,10.71,9
9820,10.73,7
9840,10.75,6
9860,10.77,7
9880,10.79,7
9900,10.81,6
9920,10.83,6
9940,10.85,1
9960,10.87,3
9980,10.89,8
10000,10.91,7
10020,10.93,6
10040,10.95,6
10060,10.97,4
10080,10.99,7
10100,11.01,9
10120,11.03,7
10140,11.05,5
10160,11.07,4
10180,11.09,8
10200,11.11,9
10220,11.13,7
10240,11.15,7
10260,11.17,6
10280,11.19,8
10300,11.21,5
10320,11.23,6
10340,11.25,7
10360,11.27,4
10380,11.29,6
10400,11.31,9
10420,11.33,7
10440,11.35,4
10460,11.37,6
10480,11.39,6
10500,11.41,10
10520,11.43,8
10540,11.45,5
10560,11.47,4
10580,11.49,8
10600,11.51,8
10620,11.53,6
10640,11.55,6
10660,11.57,6
10680,11.59,8
10700,11.61,9
10720,11.63,8
10740,11.65,5
10760,11.67,7
10780,11.69,8
10800,11.71,8
10820,11.73,5
10840,11.75,6
10860,11.77,3
10880,11.79,7
10900,11.81,6
10920,11.83,7
10940,11.85,6
10960,11.87,7
10980,11.89,7
11000,11.91,7
11020,11.93,6
11040,11.95,6
11060,11.97,7
11080,11.99,7
11100,12.01,8
11120,12.03,4
11140,12.05,7
11160,12.07,7
11180,12.09,7
11200,12.11,8
11220,12.13,7
11240,12.15,6
11260,12.17,6
11280,12.19,7
11300,12.21,6
11320,12.23,4
11340,12.25,6
11360,12.27,6
11380,12.29,6
11400,12.31,10
11420,12.33,5
11440,12.35,4
11460,12.37,7
11480,12.39,9
11500,12.41,9
11520,12.43,0
11540,12.45,5
11560,12.47,7
11580,12.49,6
11600,12.51,8
11620,12.53,3
11640,12.56,6
11660,12.57,5
11680,12.59,6
11700,12.61,7
11720,12.63,5
11740,12.65,6
11760,12.67,6
11780,12.69,6
11800,12.71,7
11820,12.73,6
11840,12.75,4
11860,12.77,5
11880,12.79,8
11900,12.81,7
11920,12.83,5
11940,12.85,7
11960,12.87,4
11980,12.89,7
12000,12.91,8
12020,12.93,4
12040,12.95,6
12060,12.97,5
12080,12.99,7
12100,13.01,8
12120,13.03,6
12140,13.05,7
12160,13.07,7
12180,13.09,5
12200,13.11,8
12220,13.13,4
12240,13.15,3
12260,13.17,5
12280,13.19,7
12300,13.21,8
12320,13.23,7
12340,13.25,6
12360,13.27,8
12380,13.29,3
12400,13.31,8
12420,13.33,7
12440,13.35,6
12460,13.37,6
12480,13.39,8
12500,13.42,8
12520,13.43,5
12540,13.45,7
12560,13.47,8
12580,13.49,8
12600,13.51,9
12620,13.53,4
12640,13.55,7
12660,13.57,5
12680,13.59,7
12700,13.61,7
12720,13.63,7
12740,13.65,6
12760,13.67,7
12780,13.69,7
12800,13.71,7
12820,13.73,6
12840,13.75,6
12860,13.77,6
12880,13.79,7
12900,13.81,6
