arduino_timestamp,elapsed_time,capacitive_value
106028,0.11,2
106048,0.11,2
106068,0.11,2
106088,0.13,1
106108,0.14,1
106128,0.16,2
106148,0.18,1
5908,0.19,1
105928,0.21,1
105948,0.22,2
105968,0.24,1
105988,0.26,2
106008,0.27,2
106028,0.29,2
106048,0.31,2
106068,0.32,2
106088,0.34,1
106108,0.36,1
106128,0.37,2
106148,0.39,1
5908,0.41,1
105928,0.43,1
105948,0.44,2
105968,0.46,1
105988,0.48,2
106008,0.49,2
106028,0.51,2
106048,0.52,2
106068,0.54,2
106088,0.56,1
106108,0.57,1
106128,0.59,2
106148,0.61,1
20,0.92,0
40,0.94,0
60,0.97,0
80,0.99,1
100,1.01,0
120,1.03,2
140,1.05,3
160,1.07,1
180,1.09,0
200,1.11,0
220,1.13,2
240,1.15,0
260,1.17,0
280,1.19,2
300,1.21,2
320,1.23,4
340,1.25,3
360,1.27,2
380,1.29,3
400,1.31,5
420,1.33,3
440,1.35,3
460,1.37,3
480,1.39,2
500,1.41,3
520,1.43,3
540,1.45,3
560,1.46,1
580,1.49,3
600,1.51,3
620,1.53,4
640,1.55,2
660,1.57,3
680,1.59,3
700,1.61,3
720,1.63,3
740,1.65,3
760,1.67,2
780,1.69,2
800,1.71,3
820,1.73,4
840,1.75,1
860,1.77,1
880,1.79,4
900,1.81,3
920,1.83,4
940,1.85,2
960,1.87,1
980,1.89,3
1000,1.91,3
1020,1.93,2
1040,1.95,3
1060,1.97,1
1080,1.99,2
1100,2.01,1
1120,2.03,4
1140,2.05,2
1160,2.07,4
1180,2.09,4
1200,2.11,3
1220,2.13,3
1240,2.15,2
1260,2.17,3
1280,2.19,2
1300,2.21,1
1320,2.23,3
1340,2.25,4
1360,2.27,2
1380,2.29,1
1400,2.31,4
1420,2.33,5
1440,2.35,2
1460,2.37,4
1480,2.39,3
1500,2.41,4
1520,2.43,4
1540,2.45,4
1560,2.47,2
1580,2.49,2
1600,2.51,0
1620,2.53,3
1640,2.55,3
1660,2.57,4
1680,2.59,4
1700,2.61,2
1720,2.63,3
1740,2.65,2
1760,2.67,3
1780,2.69,2
1800,2.71,3
1820,2.73,2
1840,2.75,2
1860,2.77,2
1880,2.79,4
1900,2.81,3
1920,2.83,2
1940,2.85,2
1960,2.87,3
1980,2.89,2
2000,2.91,3
2020,2.93,2
2040,2.95,2
2060,2.97,3
2080,2.99,3
2100,3.0,3
2120,3.03,2
2140,3.05,2
2160,3.07,5
2180,3.09,2
2200,3.11,1
2220,3.13,3
2240,3.15,4
2260,3.17,3
2280,3.19,3
2300,3.21,2
2320,3.23,3
2340,3.25,2
2360,3.27,3
2380,3.29,0
2400,3.31,1
2420,3.33,4
2440,3.35,3
2460,3.37,4
2480,3.39,3
2500,3.41,3
2520,3.43,4
2540,3.45,5
2560,3.47,3
2580,3.49,3
2600,3.51,1
2620,3.53,4
2640,3.55,4
2660,3.57,2
2680,3.59,1
2700,3.61,4
2720,3.63,4
2740,3.65,3
2760,3.67,3
2780,3.68,2
2800,3.71,4
2820,3.73,4
2840,3.75,4
2860,3.77,0
2880,3.79,3
2900,3.81,2
2920,3.83,3
2940,3.85,2
2960,3.87,2
2980,3.89,3
3000,3.91,3
3020,3.93,4
3040,3.95,3
3060,3.97,4
3080,3.99,2
3100,4.01,3
3120,4.03,3
3140,4.05,2
3160,4.07,2
3180,4.09,2
3200,4.11,3
3220,4.13,3
3240,4.15,2
3260,4.17,3
3280,4.19,2
3300,4.2,3
3320,4.23,4
3340,4.25,4
3360,4.27,2
3380,4.29,3
3400,4.31,2
3420,4.33,3
3440,4.35,2
3460,4.37,5
3480,4.39,2
3500,4.41,3
3520,4.43,4
3540,4.45,3
3560,4.47,3
3580,4.49,2
3600,4.51,4
3620,4.53,3
3640,4.55,3
3660,4.57,2
3680,4.59,3
3700,4.61,2
3720,4.63,4
3740,4.65,3
3760,4.67,3
3780,4.69,3
3800,4.71,3
3820,4.73,2
3840,4.75,4
3860,4.77,3
3880,4.79,1
3900,4.81,4
3920,4.83,2
3940,4.85,2
3960,4.87,2
3980,4.89,2
4000,4.91,3
4020,4.93,3
4040,4.95,2
4060,4.97,3
4080,4.99,3
4100,5.01,3
4120,5.03,4
4140,5.05,2
4160,5.07,2
4180,5.09,4
4200,5.11,2
4220,5.13,2
4240,5.15,4
4260,5.17,5
4280,5.19,4
4300,5.21,2
4320,5.23,4
4340,5.25,3
4360,5.27,4
4380,5.29,4
4400,5.31,3
4420,5.33,5
4440,5.35,3
4460,5.37,3
4480,5.39,3
4500,5.41,3
4520,5.43,3
4540,5.45,4
4560,5.47,3
4580,5.49,3
4600,5.51,3
4620,5.53,3
4640,5.55,4
4660,5.57,3
4680,5.59,3
4700,5.61,3
4720,5.63,3
4740,5.65,2
4760,5.67,4
4780,5.69,4
4800,5.71,3
4820,5.73,2
4840,5.75,2
4860,5.77,4
4880,5.79,2
4900,5.81,2
4920,5.83,2
4940,5.85,5
4960,5.87,2
4980,5.89,4
5000,5.9,2
5020,5.93,3
5040,5.95,4
5060,5.97,2
5080,5.99,3
5100,6.01,2
5120,6.03,3
5140,6.05,4
5160,6.07,2
5180,6.09,3
5200,6.11,3
5220,6.13,3
5240,6.15,2
5260,6.17,5
5280,6.19,2
5300,6.21,3
5320,6.23,4
5340,6.24,4
5360,6.27,3
5380,6.29,3
5400,6.31,2
5420,6.33,3
5440,6.35,5
5460,6.37,4
5480,6.39,2
5500,6.41,4
5520,6.42,4
5540,6.45,3
5560,6.47,3
5580,6.49,4
5600,6.51,3
5620,6.53,4
5640,6.55,2
5660,6.57,4
5680,6.59,5
5700,6.61,3
5720,6.63,3
5740,6.65,4
5760,6.67,3
5780,6.69,4
5800,6.71,3
5820,6.73,3
5840,6.75,2
5860,6.77,3
5880,6.79,4
5900,6.81,3
5920,6.83,4
5940,6.85,2
5960,6.87,3
5980,6.89,4
6000,6.91,1
6020,6.93,3
6040,6.94,2
6060,6.97,3
6080,6.99,2
6100,7.01,2
6120,7.03,4
6140,7.05,1
6160,7.07,3
6180,7.09,3
6200,7.1,3
6220,7.13,4
6240,7.15,4
6260,7.17,2
6280,7.19,2
6300,7.21,4
6320,7.23,4
6340,7.25,1
6360,7.27,3
6380,7.29,1
6400,7.31,5
6420,7.33,2
6440,7.35,5
6460,7.37,3
6480,7.39,3
6500,7.41,4
6520,7.43,4
6540,7.44,2
6560,7.47,2
6580,7.49,4
6600,7.51,1
6620,7.53,2
6640,7.55,5
6660,7.57,4
6680,7.59,3
6700,7.6,4
6720,7.62,3
6740,7.65,3
6760,7.67,3
6780,7.69,3
6800,7.71,3
6820,7.73,3
6840,7.75,3
6860,7.77,5
6880,7.79,3
6900,7.81,2
6920,7.83,3
6940,7.85,4
6960,7.87,3
6980,7.89,2
7000,7.91,4
7020,7.93,2
7040,7.95,3
7060,7.97,3
7080,7.99,3
7100,8.01,3
7120,8.03,3
7140,8.05,1
