arduino_timestamp,elapsed_time,capacitive_value
3125956,0.06,1
3125976,0.07,2
3125996,0.07,4
776,0.07,3
3125796,0.07,4
3125816,0.1,5
3125836,0.11,5
3125856,0.13,3
3125876,0.14,3
3125896,0.16,5
3125916,0.18,4
3125936,0.19,2
3125956,0.21,1
3125976,0.23,2
3125996,0.25,4
20,0.93,0
40,0.96,1
60,0.97,0
80,0.99,0
100,1.01,2
120,1.03,0
140,1.05,1
160,1.07,0
180,1.09,2
200,1.11,0
220,1.13,2
240,1.15,4
260,1.17,2
280,1.19,1
300,1.21,1
320,1.23,3
340,1.25,1
360,1.27,1
380,1.29,2
400,1.31,0
420,1.33,4
440,1.35,4
460,1.37,5
480,1.39,3
500,1.41,4
520,1.43,3
540,1.45,3
560,1.47,6
580,1.49,6
600,1.51,5
620,1.53,5
640,1.55,6
660,1.57,6
680,1.59,5
700,1.61,3
720,1.63,4
740,1.65,6
760,1.67,4
780,1.69,2
800,1.71,6
820,1.73,5
840,1.75,2
860,1.77,4
880,1.79,5
900,1.81,4
920,1.83,5
940,1.85,4
960,1.87,4
980,1.89,3
1000,1.91,3
1020,1.93,3
1040,1.95,6
1060,1.97,4
1080,1.99,4
1100,2.01,6
1120,2.03,3
1140,2.05,4
1160,2.07,4
1180,2.09,3
1200,2.11,3
1220,2.13,2
1240,2.15,5
1260,2.17,4
1280,2.19,5
1300,2.21,3
1320,2.23,0
1340,2.25,3
1360,2.27,5
1380,2.29,2
1400,2.31,6
1420,2.33,4
1440,2.35,4
1460,2.37,4
1480,2.39,6
1500,2.41,5
1520,2.43,3
1540,2.45,4
1560,2.47,5
1580,2.49,4
1600,2.51,4
1620,2.53,2
1640,2.55,6
1660,2.57,7
1680,2.59,3
1700,2.61,5
1720,2.63,0
1740,2.65,3
1760,2.67,6
1780,2.69,5
1800,2.71,3
1820,2.73,3
1840,2.75,4
1860,2.77,6
1880,2.79,3
1900,2.81,1
1920,2.83,3
1940,2.85,2
1960,2.87,6
1980,2.89,6
2000,2.91,4
2020,2.93,5
2040,2.95,3
2060,2.97,6
2080,2.99,2
2100,3.01,5
2120,3.04,4
2140,3.05,7
2160,3.07,5
2180,3.09,4
2200,3.11,4
2220,3.13,3
2240,3.15,5
2260,3.17,3
2280,3.19,6
2300,3.21,4
2320,3.23,6
2340,3.25,2
2360,3.27,4
2380,3.29,6
2400,3.31,6
2420,3.33,2
2440,3.35,3
2460,3.37,6
2480,3.39,7
2500,3.41,5
2520,3.43,4
2540,3.45,5
2560,3.47,4
2580,3.49,7
2600,3.51,5
2620,3.53,6
2640,3.55,4
2660,3.57,6
2680,3.59,5
2700,3.61,1
2720,3.63,2
2740,3.65,6
2760,3.67,6
2780,3.69,5
2800,3.71,4
2820,3.73,5
2840,3.75,4
2860,3.77,4
2880,3.79,3
2900,3.81,6
2920,3.83,5
2940,3.85,5
2960,3.87,1
2980,3.89,5
3000,3.91,1
3020,3.93,4
3040,3.95,5
3060,3.97,7
3080,3.99,2
3100,4.01,3
3120,4.04,5
3140,4.05,6
3160,4.07,5
3180,4.09,4
3200,4.11,4
3220,4.13,3
3240,4.15,4
3260,4.17,5
3280,4.19,4
3300,4.21,5
3320,4.23,3
3340,4.25,3
3360,4.27,4
3380,4.29,5
3400,4.31,3
3420,4.33,3
3440,4.35,6
3460,4.37,3
3480,4.39,5
3500,4.41,6
3520,4.43,3
3540,4.45,5
3560,4.47,6
3580,4.49,6
3600,4.51,5
3620,4.53,4
3640,4.55,6
3660,4.57,6
3680,4.59,4
3700,4.61,6
3720,4.63,3
3740,4.65,4
3760,4.67,4
3780,4.69,4
3800,4.71,6
3820,4.73,3
3840,4.75,3
3860,4.77,6
3880,4.79,5
3900,4.81,2
3920,4.83,1
3940,4.85,7
3960,4.87,6
3980,4.89,2
4000,4.91,5
4020,4.93,5
4040,4.95,2
4060,4.97,6
4080,4.99,3
4100,5.01,5
4120,5.03,3
4140,5.05,5
4160,5.07,5
4180,5.09,6
4200,5.11,4
4220,5.13,5
4240,5.15,4
4260,5.17,2
4280,5.19,4
4300,5.21,3
4320,5.23,5
4340,5.25,4
4360,5.27,4
